"HF:Financing scheme","HC:Function","HP:Provider","MEASURE:Measure","LOCATION:Country","TIME:Year","Unit Code:Unit","PowerCode Code:PowerCode","Reference Period Code:Reference Period","MSR:Value","Flag Codes:Flags"
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2010","USD:US Dollar","0:Units",,4261.055,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2011","USD:US Dollar","0:Units",,4345.16,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2012","USD:US Dollar","0:Units",,4588.344,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2013","USD:US Dollar","0:Units",,4767.085,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2014","USD:US Dollar","0:Units",,4858.33,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2015","USD:US Dollar","0:Units",,4943.515,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2016","USD:US Dollar","0:Units",,5195.531,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2017","USD:US Dollar","0:Units",,5315.353,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2018","USD:US Dollar","0:Units",,5544.767,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2019","USD:US Dollar","0:Units",,5705.102,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2020","USD:US Dollar","0:Units",,5899.139,"P:Provisional value"
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2010","USD:US Dollar","0:Units",,3922.228,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2011","USD:US Dollar","0:Units",,4065.113,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2012","USD:US Dollar","0:Units",,4243.908,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2013","USD:US Dollar","0:Units",,4435.931,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2014","USD:US Dollar","0:Units",,4588.226,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2015","USD:US Dollar","0:Units",,4654.247,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2016","USD:US Dollar","0:Units",,5003.902,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2017","USD:US Dollar","0:Units",,5136.174,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2018","USD:US Dollar","0:Units",,5358.892,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2019","USD:US Dollar","0:Units",,5458.401,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","ISR:Israel","2010","USD:US Dollar","0:Units",,1974.785,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","ISR:Israel","2011","USD:US Dollar","0:Units",,2081.778,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","ISR:Israel","2012","USD:US Dollar","0:Units",,2223.345,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","ISR:Israel","2013","USD:US Dollar","0:Units",,2238.455,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","ISR:Israel","2014","USD:US Dollar","0:Units",,2237.584,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","ISR:Israel","2015","USD:US Dollar","0:Units",,2310.019,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","ISR:Israel","2016","USD:US Dollar","0:Units",,2524.083,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","ISR:Israel","2017","USD:US Dollar","0:Units",,2626.181,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","ISR:Israel","2018","USD:US Dollar","0:Units",,2836.329,"D:Difference in methodology; P:Provisional value"
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HPTOT:All providers","PPPPER:Per capita, current prices, current PPPs","ISR:Israel","2019","USD:US Dollar","0:Units",,2903.412,"D:Difference in methodology; P:Provisional value"
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP1:Hospitals","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2010","USD:US Dollar","0:Units",,1652.828,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP1:Hospitals","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2011","USD:US Dollar","0:Units",,1685.347,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP1:Hospitals","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2012","USD:US Dollar","0:Units",,1799.689,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP1:Hospitals","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2013","USD:US Dollar","0:Units",,1833.627,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP1:Hospitals","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2014","USD:US Dollar","0:Units",,1860.91,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP1:Hospitals","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2015","USD:US Dollar","0:Units",,1879.832,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP1:Hospitals","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2016","USD:US Dollar","0:Units",,1989.357,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP1:Hospitals","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2017","USD:US Dollar","0:Units",,2042.249,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP1:Hospitals","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2018","USD:US Dollar","0:Units",,2136.427,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP1:Hospitals","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2019","USD:US Dollar","0:Units",,2204.345,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP1:Hospitals","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2010","USD:US Dollar","0:Units",,1396.32,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP1:Hospitals","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2011","USD:US Dollar","0:Units",,1475.946,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP1:Hospitals","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2012","USD:US Dollar","0:Units",,1553.646,
